Gene1	Gene2	EdgeWeight
ZKSCAN8	IGHM	0.4148651472825742
CEP120	PABPC1L	0.4148446686487651
ZNF586	HSH2D	0.4148357985357931
P2RY2	SDF2L1	0.41481237404599136
HSF2	PRMT3	0.4147777798635229
TMX3	SERPINB1	0.4147429595758765
ITGAL	LYZ	0.4147226486283647
RASGRP2	MYC	0.4147090853158509
CDC23	PRPS2	0.4147073999535736
ACP4	B3GALT6	0.41466282556314266
CNPY3	AKR1B1	0.4146153779724246
CSF3R	CANX	0.4146073247501007
TTC19	TNRC6C	0.4145924019957941
CAMK1D	KIT	0.4145343358109747
TOP1MT	NUDT8	0.41447985984295693
SDF2L1	RAD51	0.4144630413910773
KCTD6	BLZF1	0.4144180925168489
AL031432.4	ANKLE1	0.4144079503841834
GLT8D1	HIST1H4C	0.4144061141290059
KCTD6	METTL15	0.41440571246569136
PSD4	GPA33	0.4143989227705033
CSF3R	CXorf21	0.4143741874740488
GRN	ITM2A	0.4142996020350467
GATM	IGHM	0.41429385025427545
TRIM65	POLR1B	0.414285025046854
SRGN	SLC22A4	0.4142781158427106
CANX	GRN	0.4142533348779118
ZNF512B	TCF25	0.4141862511356237
DNM1	YIPF1	0.4141846273325717
CMTR2	C12orf66	0.41414934967883615
GRPEL1	TMED4	0.4141199568129725
TMEM44	COX19	0.4140943008586285
YME1L1	ATG3	0.4140132401092296
SSH3	RNVU1-15	0.4139831991980297
KCNE5	CRELD2	0.4139230661271
IFT22	KCNE5	0.4139181011881009
NSDHL	DNM1	0.41391203733383336
PRTN3	FES	0.4138887993453197
RNASE2	ELANE	0.413886918252178
CD164	KIF17	0.4138864097961633
JAM3	ELOC	0.41384753706145416
FANCA	TSPOAP1	0.41373759728146464
APLP2	SSX2IP	0.4137361927105415
TRIB3	KLHL20	0.4136457307055348
EIF3E	AFF4	0.4135409574364425
PLS1	ERAP1	0.4134385686647831
ZBTB16	PCBP3	0.4133914978356282
EIF5B	ELANE	0.4133739888759516
LRRCC1	KIF17	0.4133433571843695
ZNF526	ZNF292	0.4133134748768078
KAT6B	JUND	0.4132705554480274
SRGN	GRAMD1B	0.4132604219582895
PLTP	KATNB1	0.41322346129305737
CD164	PRMT1	0.4132217883711421
AC245014.3	SLC31A2	0.41320745206467535
ZNF292	IGHM	0.4131645245473922
TMEM44	EHHADH	0.41311309265642987
MRM1	HIST1H4C	0.4131046857930072
QSOX1	FAM180B	0.4130596895859205
HSP90B1	TWNK	0.4130450052164797
CCDC137	GM2A	0.41302029804977214
TRIOBP	CALR	0.4130184571475737
CCDC137	AC245014.3	0.4129985043353125
IL2RG	DDIAS	0.4129646734675144
KBTBD11	LZTFL1	0.4129223059614494
ZNF292	ANKLE1	0.4128862354583692
PIGK	SERPINB1	0.4128860330034028
JAM3	ERI1	0.4128795554733684
AZU1	POM121	0.412867672621118
FKBP14	SLC5A3	0.4128281630208424
ITM2A	COQ3	0.4128154613548999
KCNAB2	IL5RA	0.41278223218643534
PRKCSH	TEX261	0.4127364206648788
JOSD1	RNVU1-15	0.41272821386556413
TMEM214	PIGW	0.4125547637440949
JKAMP	KIT	0.41253753774852253
CHID1	KIF17	0.4125341461657249
PAPOLA	CYP4V2	0.4124923936115764
ZBED4	SLC35C2	0.4124810447444984
FANCA	BRAT1	0.4124652153306986
GTF3C3	CRELD2	0.4123968055152515
CXorf21	PIGW	0.4123617421809198
PLD1	SRPRB	0.412332198668628
PLS1	CDC23	0.41231022535760203
AL078587.1	PRPS2	0.4123028460248359
TMEM19	CHD6	0.4122976822606827
KCNE5	NTSR1	0.41229511532813257
SYNGR1	TRIM65	0.41220305317936695
LHFPL2	TENT5A	0.4121916068100466
DCAF10	AFF1	0.4121681644067871
APEX2	DDIAS	0.4121669972109918
TMED4	C5orf15	0.4121505667980289
PRTN3	RBKS	0.4121407739663535
SRGN	TRAF5	0.4121392235346069
RECQL4	AC245014.3	0.4121155678702464
PKNOX1	ZC4H2	0.4120951275912482
SRPRB	ARHGAP15	0.41208172558317024
UGGT1	C1QTNF4	0.41205320311803306
VPS13A	CTHRC1	0.41204596877519584
YIPF1	IRF3	0.41202195979038997
SACS	B3GALNT1	0.41201459352658004
CDT1	MYC	0.4119727326120612
PLTP	SLC1A5	0.41196549102100777
IMPAD1	FKBP14	0.411964775055183
MGAT4A	NT5DC2	0.4119438472397683
CD244	TENT5A	0.41190068659935897
ZNF292	SSR4	0.411897189174892
BRD8	KAT7	0.41186801554126257
EIF3E	CTHRC1	0.4117935742963128
CMAHP	ZNF649	0.4117279774373895
LRBA	EHHADH	0.4115731394324179
TTC19	ZNF717	0.4115487222031421
TMEM39A	WDFY1	0.4115434697008995
WDR77	TPM3	0.4114769487545367
CD164	CEPT1	0.41147187338916175
ZGRF1	ZNF573	0.41144055192048457
ATG3	NTSR1	0.4113524703637363
SRP14	HNRNPD	0.4113314672695184
CMTR2	GBF1	0.41131305533102297
IP6K2	SMC4	0.4112109008872433
RHOU	QSOX1	0.41118641304286857
BNIP3L	ACP4	0.4111724826440814
RASGRP2	GANC	0.4111689812147372
PRMT1	RUNX1	0.4111366541510528
ARHGAP15	CST3	0.41109176259052377
ZNF717	HTRA2	0.4110403443481838
CMAHP	SLC22A15	0.4110265165990533
MPO	RXFP2	0.4109980095960775
RALA	SLC22A4	0.41093780603404817
SLC22A16	TSPOAP1	0.4109128719486851
ARHGAP15	BLZF1	0.4108735590679937
SLC38A10	NAGPA	0.41087199695830223
MGLL	CFD	0.4108719747168804
ARFRP1	CXorf21	0.4108411797915553
PLD1	TOP1MT	0.4108360950089007
HNRNPD	HEMK1	0.41082808646102703
HIST1H4C	APEX2	0.41082679017277596
CHST10	C1QTNF3	0.4108199795889036
ACY3	SNIP1	0.4108056976429826
POM121	TMEM39A	0.4106904703738421
RPL3P4	GATM	0.41063763117799335
CST7	NSDHL	0.4106320587769941
SLC35C2	ARF1	0.41062919627713296
COX19	NT5DC3	0.4105686477446283
IFT22	SLC47A1	0.410531010959036
FARSA	MFAP4	0.4104284107440681
TENT5A	TSPOAP1	0.4104065760619851
ZBTB16	CD52	0.41040610625397417
SLC19A1	EIF3E	0.4103762103289823
HNRNPD	TWNK	0.4103477558295919
AC118549.1	CYB561D1	0.4103452970241725
VPS13A	KCNE5	0.4103248834550684
SSR4	PKNOX1	0.41031202396300703
ANKRD33B	ZC4H2	0.4102695171723408
ANKLE1	CYBRD1	0.4102336665108732
DMAC1	MRM1	0.410194429094185
LHFPL2	ZKSCAN8	0.4101637395060127
NDUFA5	EIF5B	0.4101505850039803
RUNX1	GBF1	0.41013694638557296
CSF3R	MGAT4A	0.4101362060568732
SMARCA4	POLR2L	0.41006683650569226
FUT4	B3GALT6	0.410064907730475
RGCC	ELANE	0.4100293453331117
TMEM121	TCF25	0.4100081667506724
SYNGR3	NUDT8	0.4099598663910112
TOP1MT	CMAHP	0.4099366188253232
SLC5A3	ZBED4	0.4099363690162996
DIAPH2	TUBE1	0.4098738194359169
SEC24A	GLT8D1	0.4098724960976201
IMPAD1	IP6K2	0.4097561603450164
PIGK	B3GALNT1	0.4097135326057072
CCNG2	MLH3	0.4096576457330411
ZDHHC8	ERI1	0.4096189036157804
DUSP2	SLC31A2	0.40961239624191403
PRKAG2	WDR77	0.4095785015720584
HSH2D	CSF1R	0.4095591850313018
RBKS	ALAS1	0.4093885044118346
BNIP3L	CABIN1	0.4093832885047333
RNF149	IGHM	0.4093755556948437
MFAP4	TUBE1	0.4093654354099129
MYC	DOLK	0.4093451848661045
KPNA5	HGF	0.40923822032487184
ARF1	ABCC1	0.40920915545545583
CATSPER2	PTK2B	0.4092039534592833
PSD4	KCNE5	0.4091970862508964
ERCC2	NUP188	0.409194822621966
FP671120.5	MRM1	0.4091769236695583
HYAL3	TPM3	0.40915968613244896
NOTCH1	TTC8	0.409123289546576
PKD1	AKR1B1	0.40907081589635264
RHOBTB1	HNRNPD	0.4090643825663601
CCDC51	KCTD6	0.4089770345626568
MPO	CD244	0.40891918508881214
SMC4	AC096667.1	0.408918309474527
TRIOBP	SDF2L1	0.4089048127463111
TRIM35	P2RY2	0.4088746082748148
PRKAG2	MBLAC2	0.4088011394612848
TOP1MT	HSP90B1	0.4087482277433242
CSF3R	CEBPE	0.4087451960121012
TEX261	CTHRC1	0.40873141533456175
CPD	POM121	0.40871546508643297
EIF5B	PUS3	0.40864713348667786
POLR2L	RAVER1	0.4086340458443173
AC096667.1	SLC47A1	0.4085702308055192
SLC1A5	AC019069.1	0.4085586501088905
SRGN	TBC1D10C	0.4085500762942688
AL034397.3	TMED4	0.4085153587884559
GSEC	KIT	0.4084996758964669
CCDC51	TRBV12-3	0.4084842193419267
SENP8	MBLAC2	0.4084329561779375
MED21	CATSPER2	0.4084238744772203
MAN2B2	AL031432.4	0.40839330305289495
HSPA5	LSP1	0.4083867447866169
AL034397.3	CLEC5A	0.4083195233474939
PPP2R5D	ZNF649	0.4082601120268396
PIK3CB	RXFP2	0.40821629635787615
TRBV12-3	LINC00173	0.4081958906103968
NTSR1	KLHL20	0.4081774009864707
HSPD1	MACF1	0.4081499282566872
CCDC137	PRMT3	0.4081409940148867
HGF	PIK3CB	0.4081290923703249
ZNF747	B3GALT6	0.40811788160205503
PCBP3	C1QTNF4	0.4081084149686644
MAN2B2	MBLAC2	0.4080478865911372
FAS	FOSB	0.40804763597936816
MARC1	MS4A3	0.4080372712125057
MED21	C12orf66	0.4080367022499419
FAM122B	CHID1	0.4079847916258652
FIG4	CPVL	0.4079734010961299
UAP1	METTL15	0.40794991200858177
CFD	POLR2L	0.4079296916146846
DNMT1	DIAPH2	0.4079176626135839
FP671120.5	ALAS1	0.4078576378448305
AC245014.3	LINC00271	0.4078432151266074
KATNB1	MBLAC2	0.4078067610439463
DDIAS	RNVU1-15	0.4077884520364788
RXFP2	MS4A3	0.4077418146379142
ACSM3	CLEC12A	0.4077377039267228
RBM15B	HSP90B1	0.4077241862821373
RAD51	HSPA5	0.40768988139422585
CST7	C5orf15	0.4076620730639781
TUBE1	DNAJB9	0.4076417276673466
TPM3	COL8A2	0.4076231564471182
MACF1	EIF3E	0.4076147261870547
TTC19	LRG1	0.40759692660693214
PSMD8	GANC	0.4075928789857006
NXT2	UNC45A	0.407590834735526
NAGLU	CRELD2	0.4075531063827993
PRDX4	DIAPH2-AS1	0.4075216430886507
GPAA1	CYB5RL	0.4074961076253901
TENT5A	MROH8	0.4074918977976733
DOLK	TTC19	0.4074566330515184
FP671120.5	NTSR1	0.4074346381178161
ZNF526	DPP7	0.4074207915619637
LRRCC1	RNF149	0.4073424433824673
AL592429.1	COLGALT2	0.4073369560640103
KBTBD6	FAS	0.4073048099351738
TMX3	NCAPH	0.4072764175305287
CMTR2	NCAPH	0.4072717303783192
TRIOBP	HAVCR2	0.40726766180412544
PCK2	LIG1	0.4072478423023277
PRAM1	TMX3	0.4072433516190868
ZC4H2	PVR	0.407208899917792
GTF3C3	CMTR2	0.4072018388220659
ITGAL	HIST1H4C	0.4071931556040725
GRN	DDX28	0.4071908855180305
KIF17	CCL23	0.4071765446364251
FANCA	ACY3	0.4071701764707578
GBF1	NSDHL	0.4071105090866512
TOP1MT	CPD	0.4071052952766866
KLHL20	IFT22	0.4070984057921349
HNRNPD	SRGN	0.4070517583257581
B3GALNT2	PUS3	0.40704634118079297
DPP7	DCAF4	0.4070314524158807
PRKAG2	HMGB2	0.4069636958399142
RGCC	TRIM35	0.406961527087169
CATSPER2	ALAS1	0.4069392776606777
TRGC2	ZGRF1	0.4068770576055531
DUSP2	AL592429.1	0.4068363727843036
MCM4	FGFR1OP	0.4068257644472566
CNPY3	MS4A3	0.4068129529432519
VPS13C	SLC38A10	0.4067977162125445
POLR1B	OSBPL9	0.4067433633804557
ARF1	ZNF526	0.406687357286655
POLR3F	PANK1	0.4066599044681189
RBKS	GRN	0.4066587213861062
HMGB2	UHRF1BP1	0.4066582444104877
GOSR1	LSP1	0.4064471818989804
CALR	MAPKAPK3	0.40641240154935626
KAT6B	CSF3R	0.4063796559788943
DNAJB9	LPO	0.4063662003369988
ZNF526	PEX7	0.4063471683297765
VPS13A	PLS1	0.4063299482630579
LRPAP1	PCK2	0.4063147471065965
SERPINB10	TEX261	0.40630932550454496
JOSD1	IL5RA	0.40628918335517417
P2RY2	FTCDNL1	0.4062110500762151
GRAMD1B	TMEM121	0.4062104993780361
ASCL2	GRN	0.4061636018418826
NCOA4	HSH2D	0.40611878037417454
SRP14	CCNYL1	0.4060755742006408
SERPINB1	ERG	0.4060701331702304
OSBPL9	CXorf21	0.4060699402423956
DMAC1	MYC	0.4060585882648615
AC118549.1	MGAT4A	0.406055686612346
POM121	PHYHD1	0.40604872943578096
MRM1	CLEC5A	0.4060275726139985
SNTB1	CHD6	0.4060245144367047
LYZ	AC104232.1	0.4060082695191805
CPD	SDF2L1	0.4060027006785065
SYVN1	ZNF586	0.4059925641376152
AC118549.1	CRELD2	0.405990566355876
AEN	ZKSCAN2	0.4059571656212381
SLC5A3	RNASE2	0.40595312315834703
HSPD1	SESN3	0.4059267346092978
ARHGAP15	CALR	0.405862792044992
PSD4	MAN2B2	0.40572929441147854
CHM	SLC22A16	0.4057171630584234
ERAP1	GATM	0.4057167913332687
CYB561D1	POLR2L	0.4056420027064158
NUDT8	PCK2	0.4056382248942095
MGAT4A	CEP250	0.4056258116354636
GTPBP1	SYVN1	0.405594446916261
NT5DC2	AC245014.3	0.405574840039678
SYVN1	NEK1	0.4055542033804603
IL2RG	GTF3C3	0.40550231971429024
IRS2	CD164	0.4054953013212335
NUDT8	ITGAL	0.4054653811403323
MAN2B2	IFT22	0.4054652404903615
MPO	DCAF4	0.405461675812974
YME1L1	ERCC2	0.405461135674235
ARF1	CD164	0.4054204557194985
DIAPH2	ANKLE1	0.4053319524234206
DBNL	LYZ	0.4053145996701354
DBNL	CHID1	0.40529272734225197
ITM2A	AC004069.1	0.4052135806541073
AKR1B1	LUC7L3	0.4051825599194887
NEK1	KATNB1	0.40514885909245946
MRPS12	KCNAB2	0.405108220895564
TPM3	CSF1R	0.4051052446422025
OSBP	ZNF292	0.4050885367267525
CFD	YME1L1	0.4050598678653938
FTL	HSP90B1	0.4050564963540328
GBF1	NXT2	0.4050472673685377
DMAC1	ITM2A	0.40503002646086345
POLR2L	CST3	0.4049613768814578
LRPAP1	AL078587.1	0.4049599794244527
GM2A	KCTD6	0.4049170367507123
HEMK1	LUC7L3	0.4048911967616904
FTL	CMAHP	0.4047869012990208
RBM15B	MAN2B2	0.4047828816654399
MAPKAPK3	HAVCR2	0.40475820748270464
FAM107B	CTSG	0.4047181386404394
SSR4	CYP4V2	0.404675244393482
TBCCD1	FASTKD3	0.4046623307968327
NEK1	COQ3	0.4045994792056519
BRAT1	HYAL3	0.4044851334617552
LRRCC1	HSPA5	0.4044547184845576
JUND	CANX	0.40444166733388187
WDFY1	ZNF573	0.4044312288339061
BMP1	CHID1	0.4044060864311349
CD164	ITM2A	0.4044019460257003
APEX2	ATL2	0.404209684822639
POLR2L	QSOX1	0.40418697744953375
SESN3	ZGRF1	0.4041838991246672
HSP90B1	AZU1	0.4041472530581479
FAM107B	GRN	0.4041298129230733
CHM	CTDP1	0.404123568600872
SSR4	FKBP14	0.4040504695716803
PCK2	C1orf74	0.4040467432783729
LRPAP1	SRGN	0.4039854548902224
PRAM1	CCL23	0.403967442367738
SLC5A3	EHHADH	0.4039615951063672
COX19	DIAPH2-AS1	0.4039495629035477
TBCCD1	HSH2D	0.4039226273249536
HYAL3	CABIN1	0.40392164114338575
C5orf15	PIGW	0.4039146186374304
AC099778.1	AL592429.1	0.4038962367148064
ZSCAN31	SERPINB1	0.4038595229853561
RNVU1-15	ARFRP1	0.403839254767939
QSOX1	PABPC1L	0.4037615826184834
LPO	CNPY3	0.4037529059463453
MAPK1	RARRES2	0.4037064628654908
IL2RG	RGCC	0.4036540981358657
AKR1B1	JOSD1	0.4035810778264489
GGPS1	TPM3	0.40354883651527135
RAVER1	KCNE5	0.4035131273400449
POLR2L	HMGB2	0.4034757783794921
AC104232.1	DYNC2LI1	0.4034639313857611
ARHGEF39	JOSD1	0.4034452886081917
PIGW	RHOBTB1	0.4034376265703001
LZTFL1	ZNF292	0.4034289151673314
MAPK1	LYZ	0.4033370072108252
RCCD1	TRIM6	0.4032903400438261
TTC19	EEF1AKMT3	0.4032686974611181
SRGN	CSF1R	0.4032355525141372
SSR4	YME1L1	0.40322459452602666
POLR2L	SERPINB1	0.4031606798861732
WDR77	CYB5RL	0.4031439938776008
CATSPER2	CRELD2	0.40313626573405664
MYO18A	EEF1AKMT3	0.4031040876344694
MYC	LENG8	0.40309352927032255
CLEC5A	DMAC1	0.4030841810705304
RNF144A	LRRCC1	0.4030479689586015
CATSPER2	HNRNPD	0.40297562510792495
DNMT1	C1QTNF4	0.4029626213554948
AC245014.3	AZU1	0.4029202011811317
MRPL20-AS1	SYVN1	0.4029108096725276
AFF1	FTCDNL1	0.4029071284771629
FES	CSF3R	0.40285914931471006
GBF1	MPO	0.4027890783629384
CANX	KIT	0.40276547988842265
MBLAC2	SLC31A2	0.4027117657377578
C5orf15	TRIM35	0.40266129134882345
STT3B	NXT2	0.4026466851824672
ARFRP1	CEP120	0.4026130204135741
CD52	C12orf66	0.402593986632152
CHST10	MAPKAPK3	0.4025764613916266
MCM4	FAM107B	0.4025714357372566
UBE2Q1	ZC4H2	0.402520371924264
SACS	RASGRP3	0.40248358903710907
ACSM3	SERPINB1	0.4024706747329121
LIG1	CNPY3	0.4024566126165952
FUT4	C12orf66	0.40238927440291095
ELOC	PRTN3	0.4022488845243014
OSBPL9	OSBP	0.4022438885984534
EIF5B	POLR2L	0.4022405617535069
MPO	C1orf74	0.4022125848095037
RUNX1	COA7	0.40212506397484543
MARC1	AC096667.1	0.4020728273380548
SLC22A4	HAL	0.4020009584845609
PRAM1	ITGAL	0.4019883780851913
CSF1R	COLGALT2	0.40196929552744654
RFXAP	HSP90B1	0.4019442272085507
CCL23	AL078587.1	0.40187059914975337
MRPS12	FURIN	0.4018123862710905
FARSA	TMED4	0.4017698793894493
PLCE1	ERAP1	0.4016615942700565
POLR2L	MPO	0.4016574838004916
CEP250	ACP4	0.4015973955226945
POLR3F	CLEC5A	0.4015905850372937
FIG4	PRMT3	0.4015657933497612
C1QTNF4	MRM1	0.4015345932457065
PIGW	CD164	0.4015340522316576
IMPAD1	METTL15	0.40153381986622144
LIG1	RECQL4	0.401507486936126
TAF8	PJVK	0.4014965067751943
RASGRP3	GPR180	0.4014179415645207
NAGLU	AL078587.1	0.40141338386836
AL031432.4	JUND	0.4014062306818982
PVR	GSEC	0.4013797694343363
TRIM65	TENT5A	0.4013475773632677
EMB	TMEM44	0.4013317428708932
PTK2B	ZC4H2	0.40132755825229793
RPL3P4	CEPT1	0.40131503920876704
SLC9B2	MS4A3	0.4012923590879003
SERPINB10	HMGB2	0.4011697167049293
AC245014.3	TSPOAP1	0.4009716933882969
RANBP17	CHD6	0.4009613361125555
TMED4	PRPS2	0.4009457466821516
COX19	MCM4	0.4009215326608091
DPP7	NT5DC3	0.40082134248608375
MFAP4	KCNE5	0.4007568490837694
POLR1B	COA7	0.4007531194675104
MARC1	CLEC5A	0.4007514874604264
KATNA1	TMEM19	0.40074271324396027
P2RY2	ZBED4	0.4006465475614813
AC004069.1	TENT5A	0.40060362815638384
ZNF292	MACF1	0.4005882764078344
MYC	ACY3	0.4005299397925969
ZKSCAN8	PRG2	0.40050950230141297
CABIN1	ARFRP1	0.40046759726686615
CLEC5A	APLP2	0.4004543700899075
OSBPL9	AZU1	0.4004178047227924
ITGAL	LAMC1	0.4003543865878927
ARHGAP15	AC109326.1	0.4003536619702625
RAVER1	CATSPER2	0.4002962393751217
CD164	AL034397.3	0.4002673924503584
UNC45A	C19orf54	0.4002234627421445
BNIP3L	RNVU1-15	0.40017859614314577
CRELD2	GRN	0.4001703058363924
PRAM1	DPEP3	0.4001030422701651
LOXL3	CSF3R	0.4000465535116264
SLC47A1	VAT1	0.40003099859513785
MPP6	TWNK	0.4000120068812668
KCNAB2	CLEC12A	0.4000033765390134
JUND	SLC19A1	0.3999429903820135
ABCC1	MBLAC2	0.3999277336479575
CCNG2	HGF	0.3999138619747014
NPLOC4	TBC1D10C	0.3998872279040575
TPM3	HMGB2	0.3998571545601364
GOSR1	FOSB	0.3998212281189876
SLC38A10	SNHG29	0.3997882119673162
AFF4	RAB5B	0.39977836661462174
PRMT1	CSF3R	0.3997731339940685
HTRA2	SNIP1	0.39975941352175537
SIRPB2	PRTN3	0.3997054281264804
ARHGAP15	NCAPH	0.3996942837280686
GANC	PALB2	0.3996174182522672
STT3B	DDIAS	0.3995946090132898
TTC19	AC118549.1	0.39957648123934
EARS2	IFT22	0.3995721749765889
APLP2	AFF1	0.3995658969146768
MAPKAPK3	GM2A	0.39953481553923065
NT5DC3	CSF1R	0.399528025145858
SLC35C2	HSPA5	0.3994991064446095
ARF1	CCDC51	0.3994823205600838
MFAP4	IFT22	0.3994751013711637
CSF3R	FTL	0.3994645257966069
DPEP3	AZU1	0.3994637048403801
PRKAG2	TPM3	0.3993529956839797
MPO	BLZF1	0.3993477958025423
MCM4	TRIOBP	0.39932128678159184
CDS2	HAL	0.3993066672318991
PSMD10	FAM98A	0.3993064281515243
RASGRP2	TRIOBP	0.3992974428657437
LIG1	ZBTB33	0.3992957069860288
DNAJB9	DIAPH2-AS1	0.3992535198176653
ATL3	DDX56	0.39924507937332987
MPO	TMX3	0.3992251291635565
SSR4	C5orf15	0.39918741316633577
ERAP1	SLC31A2	0.3991632182969704
SLC36A4	TMEM214	0.3991459928247094
RASAL3	RECQL4	0.3991069984866431
TBC1D10C	PVR	0.3991054428094164
CANX	NEU3	0.3990981227815124
HSP90B1	HIST1H4C	0.3990900118075517
MCM4	AC245014.3	0.3989975346917953
ANKLE1	IGSF10	0.3989800462588478
C3AR1	TRGC2	0.3989737055723401
MED21	TBCCD1	0.3989614576691071
ARHGAP15	SRGN	0.39895782487326936
SSR4	CSF1R	0.3989392409730977
NXT2	TRGC2	0.3988900756836333
SLC22A31	SERPINB1	0.39883480498324375
ATG3	ALDH3A2	0.3988215460594751
TCF25	FBN2	0.3988119077670099
ADNP2	SHLD2	0.3987732544647772
FCGR1A	PIGK	0.3987607258667673
SLC38A10	NT5DC2	0.3987571959243854
ACSM1	KIF17	0.39874379762031786
SLC22A16	HAL	0.3987359387673685
HSPA5	MROH8	0.39868627975956106
VPS13C	PKNOX1	0.398682199938462
MYC	NXT2	0.39866998879263227
RASGRP2	CCNG2	0.3986463991804748
PRMT3	TBCCD1	0.3985884047871101
FKBP14	ADNP2	0.3985827817516737
KBTBD11	CD244	0.3985402575527201
IP6K2	APEX2	0.3984878062326891
WDFY1	SLC22A15	0.3984873814993137
ALAS1	NTSR1	0.3984766092924504
GGPS1	B3GALT6	0.398445770722116
AZU1	ARFRP1	0.3984178684305041
VPS13A	SSX2IP	0.39839978480711935
LYZ	RAB5B	0.39834210444180734
IP6K2	FAM98A	0.3982228220155953
GTF3C3	UBE2Q1	0.39822036344135503
EMB	AEN	0.3981664725663043
RNF149	TRIM35	0.3981536127741781
WDR77	ALAS1	0.3981465724289022
SHLD2	CCDC51	0.3981431562541105
EMB	TRIM35	0.3981392524752671
EIF3E	CMAHP	0.3981206926793277
TPM3	CCDC169	0.3980767523752427
PRKAG2	FKBP14	0.3980680547577432
TMEM19	FAM122B	0.3980589068848548
NEU3	SHLD2	0.39797999035196097
NT5DC3	AEN	0.39793421838275145
RGCC	AZU1	0.3979342038808895
C1QTNF3	HIST1H4C	0.3978983254972237
EIF5B	SRGN	0.3978964445440774
CYP2S1	PHYHD1	0.3978858034349524
FAM107B	KBTBD6	0.3978549591320409
C1QTNF4	SESN3	0.3978487925905752
HEMK1	RAB26	0.3978349922253172
FES	AC245014.3	0.3977266850257071
ARFRP1	GTF3C3	0.3977031688349033
PRTN3	LRG1	0.3976113287489713
LUC7L3	CHID1	0.3975840645505256
TBC1D10C	ZNF586	0.3975300875918651
GPT2	METTL15	0.3974926788528624
KATNB1	LRRCC1	0.3974868321247078
APLP2	ZGRF1	0.3974640115855401
DNMT1	GSEC	0.39745941892972303
NR1I2	PRTN3	0.3974323970205624
GSEC	FAM122B	0.39742926131234857
CCDC137	PKNOX1	0.3973984984596899
FAM107B	CSF1R	0.39735746572667663
GANC	CST3	0.3973331466203976
ZDHHC8	LINC00173	0.3973242312685352
ERG	OSBP	0.3972981436276988
REV1	COLGALT2	0.39725964641518346
FTL	IGHM	0.3972492028856809
HMGB2	ZNF586	0.3972393553758297
CHST10	CST3	0.39721389175592864
FGFR1OP	CANX	0.3971947631273322
HAVCR2	KATNA1	0.39718667238720495
AC104232.1	SLC35A5	0.3971358448450977
PEX7	SKIV2L	0.3970669240662827
AC118549.1	ZNF292	0.3970272748458932
SSH3	MS4A3	0.3970041232551566
RNF144A	TBCCD1	0.3969748380086954
DNAJB9	SEC24A	0.3969656051186287
AL031432.4	PRAM1	0.3969482091058979
DYNC2LI1	VPS13C	0.3969319488086253
SLC1A5	SLC28A3	0.3969122739375577
PEX7	VPS13C	0.3968995078818654
NUDT8	IGFBP2	0.3968483109080076
LRPAP1	MAPK1	0.3968006880008129
HSPD1	PRKAG2	0.3967814038735236
DDX28	VPS13A	0.39676309397109466
CST7	AC109326.1	0.3967508317421515
MS4A3	LOXL3	0.39673057073048135
HSH2D	SSR4	0.3967126931300744
MGLL	ATL2	0.3967030078503124
TMEM39A	SLC38A10	0.3966722288247722
PIK3CB	FNDC3B	0.39664981699872015
HSP90B1	GSEC	0.3966305688806893
TOP1MT	KCNE5	0.39661734352666217
CANX	RNVU1-15	0.3965380633394721
CSF1R	CCL23	0.3965252615943137
TENT5A	AZU1	0.3965179588360313
IMPAD1	OSBP	0.3964990190840772
ITM2A	CXorf21	0.3964989205105909
CPD	RHOBTB1	0.3964947333386152
RAVER1	SNHG29	0.3964813256387227
HSPA5	KIT	0.39646151932364415
NEMF	HSPA5	0.39646002765039023
NEU3	AC109326.1	0.3963710376362245
PPP2R5D	MFAP4	0.39636072355829577
PABPC1L	POLR2L	0.3963280915754056
KAT7	HSH2D	0.3963222828782325
ATAD1	HSPA5	0.3963215625695642
ERLIN1	KBTBD6	0.3963170150911386
AEN	HSPA5	0.3962917845028097
TBCCD1	SLC22A16	0.39629100355514496
MAN1A1	C3AR1	0.396290885065098
RAB5B	TEX261	0.39625922867231417
KCNE5	PRMT1	0.3962411712509729
KIF17	PRAM1	0.3962225630086477
ERLIN1	VPS13A	0.3962140607797755
LRPAP1	SIRPB2	0.3962072908459616
ACSM3	TMEM19	0.3961635757364989
AZU1	PJVK	0.39615770559695024
BMP1	NEK1	0.3961533947377403
RNVU1-15	AC017104.3	0.3961473819265088
B3GALNT1	IGHM	0.39613335574316105
HTRA2	DDX56	0.39613265083338256
COQ3	HYAL3	0.3961316773028923
DPH2	LYZ	0.39608510814478093
C3AR1	FASTKD3	0.39598895474255136
FGFR1OP	SSR4	0.3959497748469177
ARF1	RPL3P4	0.3959360938780319
ERLIN1	CSF1R	0.39592285514397496
TFEC	TRBV12-3	0.3958732375642408
COX19	PEX7	0.3958507315446416
HGF	ZKSCAN8	0.39581252488573976
SNTB1	FP671120.5	0.39580627229378507
CDT1	CRELD2	0.3958042782882716
ARF1	DNAJB9	0.3957999848314948
STT3B	DNAJB9	0.3957868797677291
MACF1	PCK2	0.3957316499321459
EPM2A	PLD1	0.3957170897463791
FUT4	MYC	0.3956920627252888
ZKSCAN8	CMTR2	0.3956902653439671
AZU1	EIF3E	0.3956582135983577
SLC31A2	CXorf21	0.3956572439640818
SERPINB10	EIF4A1	0.3955691145666269
SSX2IP	COLGALT2	0.39555130518489307
SLC31A2	RASAL3	0.3955041814312881
